Approach,entropy_delta,Invalidator,FIXCHECK,LLM4PatchCorrectness,DL4PatchCorrectness
Avatar (80:585),-0.04,0.16,0.24,0.41,0.05
FixMiner (65:115),0.18,0.21,0.17,0.51,-0.03
Nopol (0:285),-0.00,-0.00,-0.00,0.00,0.00
SimFix (135:120),0.08,0.39,0.04,0.05,0.17
TBar (210:845),0.01,0.28,0.20,0.35,0.01
dynamoth (35:325),0.02,-0.23,0.04,0.13,0.16
jGenProg (10:330),-0.04,0.21,0.04,-0.04,-0.17
jKali (15:165),-0.07,0.29,-0.26,0.00,-0.21
jMutRepair (20:80),0.22,0.05,-0.29,0.00,-0.25
kPAR (65:505),-0.18,0.23,0.11,0.44,0.08
Overall,0.02,0.16,0.03,0.18,-0.02
