Bug,entropy_delta,Invalidator,FIXCHECK,LLM4PatchCorrectness,DL4PatchCorrectness,RS-85,RS-95
Chart-1 (5:4),2.00,5.00,N/A,N/A,N/A,3.00,3.00
Chart-7 (1:17),3.00,1.00,N/A,N/A,N/A,16.00,18.00
Chart-8 (1:0),N/A,1.00,1.00,1.00,1.00,1.00,1.00
Chart-9 (1:10),N/A,11.00,11.00,N/A,4.00,10.00,11.00
Chart-11 (2:0),1.00,1.00,1.00,1.00,N/A,1.00,1.00
Chart-20 (1:0),1.00,1.00,1.00,1.00,1.00,1.00,1.00
Chart-24 (3:0),N/A,1.00,N/A,1.00,N/A,1.00,1.00
Closure-14 (1:0),1.00,1.00,N/A,N/A,N/A,1.00,1.00
Closure-46 (3:5),4.00,6.00,6.00,1.00,N/A,4.00,5.00
Closure-57 (2:2),3.00,3.00,3.00,N/A,N/A,3.00,3.00
Closure-62 (3:12),8.00,13.00,13.00,N/A,10.00,7.00,9.00
Closure-73 (2:0),1.00,1.00,1.00,1.00,1.00,1.00,1.00
Closure-86 (1:0),1.00,1.00,1.00,N/A,N/A,1.00,1.00
Closure-126 (5:14),10.00,15.00,N/A,5.00,N/A,6.00,8.00
Lang-33 (3:2),2.00,3.00,3.00,3.00,3.00,2.00,3.00
Lang-43 (2:1),1.00,2.00,2.00,1.00,1.00,2.00,2.00
Lang-55 (5:8),7.00,1.00,9.00,N/A,9.00,4.00,5.00
Lang-57 (5:5),N/A,6.00,N/A,2.00,N/A,3.00,4.00
Lang-58 (1:52),27.00,35.00,53.00,N/A,N/A,46.00,51.00
Lang-59 (4:25),1.00,1.00,N/A,1.00,N/A,11.00,15.00
Math-5 (1:0),1.00,1.00,1.00,N/A,N/A,1.00,1.00
Math-30 (4:6),5.00,6.00,7.00,3.00,N/A,4.00,5.00
Math-33 (3:21),21.00,19.00,16.00,N/A,N/A,11.00,15.00
Math-34 (2:0),N/A,1.00,1.00,N/A,1.00,1.00,1.00
Math-50 (7:55),N/A,56.00,32.00,27.00,17.00,14.00,21.00
Math-53 (1:2),1.00,3.00,3.00,N/A,1.00,3.00,3.00
Math-57 (1:1),1.00,2.00,1.00,N/A,N/A,2.00,2.00
Math-58 (1:18),N/A,18.00,N/A,1.00,N/A,17.00,19.00
Math-59 (2:0),1.00,1.00,1.00,1.00,N/A,1.00,1.00
Math-65 (1:0),1.00,N/A,N/A,1.00,N/A,1.00,1.00
Math-70 (3:2),1.00,3.00,3.00,1.00,2.00,2.00,3.00
Math-75 (3:0),1.00,1.00,1.00,N/A,N/A,1.00,1.00
Math-79 (1:3),4.00,4.00,N/A,N/A,N/A,4.00,4.00
Math-82 (1:3),1.00,4.00,N/A,N/A,N/A,4.00,4.00
Math-85 (1:9),4.00,N/A,N/A,N/A,3.00,9.00,10.00
Math-89 (3:0),1.00,1.00,1.00,N/A,1.00,1.00,1.00
Mockito-29 (2:5),5.00,6.00,6.00,N/A,N/A,4.00,5.00
Mockito-38 (4:0),1.00,1.00,1.00,N/A,N/A,1.00,1.00
Time-7 (2:4),4.00,5.00,N/A,1.00,3.00,4.00,5.00
Overall,3.94,6.51,6.88,2.94,3.87,5.36,6.33
